school_name,state_aamc,application_deadline,criminal_background_check,application_deadline_date,shemmassian_school_name,medical_school,state_shemmassian,degree_type,average_gpa,average_mcat,minimum_mcat,is_public,campus_city,region,setting
University of Missouri-Kansas City School of Medicine,Missouri,"July 1, 2026",No,2026-07-01,University of Missouri – Kansas  City School of Medicine,University of Missouri – Kansas  City School of Medicine,MO,MD,3.78 3.5 Minimum required for OOS applicants. 3.0 minimum for IS applicants.,506,495,True,Kansas City,Midwest,Urban
Washington University in St. Louis School of Medicine,Missouri,"October 15, 2026",Yes,2026-10-15,Washington University School of  Medicine,Washington University School of  Medicine,MO,MD,3.88,519.5,NR,False,St. Louis,Midwest,Urban
Creighton University School of Medicine,Nebraska,"November 2, 2026",Yes,2026-11-02,Creighton University School of Medicine,Creighton University School of Medicine,NE,MD,3.86,513,NR,False,Omaha,Midwest,Urban
University of Nebraska College of Medicine,Nebraska,"November 2, 2026",No,2026-11-02,University of Nebraska Medical Center College of Medicine,University of Nebraska Medical Center College of Medicine,NE,MD,3.87,512,NR,False,Omaha,Midwest,Urban
Kirk Kerkorian School of Medicine at UNLV,Nevada,"October 1, 2026",Yes,2026-10-01,University of Nevada Las Vegas School of  Medicine,University of Nevada Las Vegas School of  Medicine,NV,MD,3.6-3.7,510,NR,True,Las Vegas,West,Urban
Roseman University College of Medicine,Nevada,"March 1, 2027",Yes,2027-03-01,,,,,,,,,Las Vegas,West,Urban
"University of Nevada, Reno School of Medicine",Nevada,"October 1, 2026",No,2026-10-01,University of Nevada Reno School of  Medicine,University of Nevada Reno School of  Medicine,NV,MD,3.76,509,500,True,Reno,West,Urban
Geisel School of Medicine at Dartmouth,New Hampshire,"November 2, 2026",Yes,2026-11-02,Geisel School  of Medicine at Dartmouth,Geisel School  of Medicine at Dartmouth,NH,MD,3.77,516,NR,False,Hanover,Northeast,Town
Cooper Medical School of Rowan University,New Jersey,"November 16, 2026",Yes,2026-11-16,Cooper Medical School of  Rowan University,Cooper Medical School of  Rowan University,NJ,MD,3.79,512,NR,True,Camden,Mid-Atlantic,Urban
Hackensack Meridian School of Medicine,New Jersey,"December 1, 2026",Yes,2026-12-01,Hackensack Meridian School of Medicine,Hackensack Meridian School of Medicine,NJ,MD,3.8,514,NR,False,Nutley,Mid-Atlantic,Suburban
Rutgers New Jersey Medical School,New Jersey,"December 1, 2026",Yes,2026-12-01,Rutgers New Jersey Medical  School,Rutgers New Jersey Medical  School,NJ,MD,3.70,515,NR,True,Newark,Mid-Atlantic,Urban
"Rutgers, Robert Wood Johnson Medical School",New Jersey,"December 1, 2026",Yes,2026-12-01,Rutgers Robert Wood Johnson Medical School,Rutgers Robert Wood Johnson Medical School,NJ,MD,3.70,514,NR,True,New Brunswick,Mid-Atlantic,Urban
University of New Mexico School of Medicine,New Mexico,"November 2, 2026",Yes,2026-11-02,University of New Mexico School of Medicine,University of New Mexico School of Medicine,NM,MD,3.75,507,494,True,Albuquerque,Southwest,Urban
Albany Medical College,New York,"November 2, 2026",Yes,2026-11-02,Albany  Medical College,Albany  Medical College,NY,MD,3.80,512,NR,False,Albany,Northeast,Urban
Albert Einstein College of Medicine,New York,"October 15, 2026",Yes,2026-10-15,Albert  Einstein College of Medicine,Albert  Einstein College of Medicine,NY,MD,3.82,516,NR,False,Bronx,Northeast,Urban
Columbia University Vagelos College of Physicians and Surgeons,New York,"October 15, 2026",Yes,2026-10-15,Columbia University College of Physicians and Surgeons,Columbia University College of Physicians and Surgeons,NY,MD,3.85,521,NR,False,New York,Northeast,Urban
Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,New York,"November 2, 2026",Yes,2026-11-02,Hofstra  Northwell School of Medicine,Hofstra  Northwell School of Medicine,NY,MD,3.92,518,NR,False,Hempstead,Northeast,Suburban
Icahn School of Medicine at Mount Sinai,New York,"October 1, 2026",No,2026-10-01,Icahn School of Medicine at Mount  Sinai,Icahn School of Medicine at Mount  Sinai,NY,MD,3.81,519,NR,False,New York,Northeast,Urban
Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,New York,"November 16, 2026",Yes,2026-11-16,University at Buffalo  Jacobs School of Medicine and Biomedical Sciences,University at Buffalo  Jacobs School of Medicine and Biomedical Sciences,NY,MD,3.70,510,NR,True,Buffalo,Northeast,Urban
NYU Grossman Long Island School of Medicine,New York,"November 2, 2026",Yes,2026-11-02,New York  University Long Island School of Medicine,New York  University Long Island School of Medicine,NY,MD,3.94,516,NR,False,Mineola,Northeast,Suburban
NYU Grossman School of Medicine,New York,"October 15, 2026",Yes,2026-10-15,New York  University Grossman School of Medicine,New York  University Grossman School of Medicine,NY,MD,3.98,523,NR,False,New York,Northeast,Urban
New York Medical College,New York,"December 15, 2026",Yes,2026-12-15,New York Medical College,New York Medical College,NY,MD,3.60,516,NR,False,Valhalla,Northeast,Suburban
Renaissance School of Medicine at Stony Brook University,New York,"November 16, 2026",Yes,2026-11-16,Stony Brook  University School of Medicine,Stony Brook  University School of Medicine,NY,MD,3.89,514,NR,True,Stony Brook,Northeast,Suburban
SUNY Downstate Health Sciences University College of Medicine,New York,"December 1, 2026",Yes,2026-12-01,SUNY – Downstate  Medical Center College of Medicine,SUNY – Downstate  Medical Center College of Medicine,NY,MD,3.73,513,NR,True,Brooklyn,Northeast,Urban
State University of New York Upstate Medical University Alan and Marlene Norton College of Medicine,New York,"October 15, 2026",Yes,2026-10-15,SUNY – Upstate Medical  University,SUNY – Upstate Medical  University,NY,MD,3.74,512,NR,True,Syracuse,Northeast,Urban
University of Rochester School of Medicine and Dentistry,New York,"October 15, 2026",Yes,2026-10-15,University of Rochester School of Medicine and Dentistry,University of Rochester School of Medicine and Dentistry,NY,MD,3.60,517,NR,False,Rochester,Northeast,Urban
Weill Cornell Medicine,New York,"October 15, 2026",Yes,2026-10-15,Weill Cornell Medical College,Weill Cornell Medical College,NY,MD,3.90,518,NR,False,New York,Northeast,Urban
Brody School of Medicine at East Carolina University,North Carolina,"October 1, 2026",Yes,2026-10-01,East  Carolina University Brody School of Medicine,East  Carolina University Brody School of Medicine,NC,MD,3.77,510,NR,True,Greenville,Southeast,Urban
Duke University School of Medicine,North Carolina,"October 15, 2026",No,2026-10-15,Duke University School of Medicine,Duke University School of Medicine,NC,MD,3.90,519,NR,False,Durham,Southeast,Urban
Methodist University Cape Fear Valley Health School of Medicine,North Carolina,"November 16, 2026",Yes,2026-11-16,,,,,,,,,Fayetteville,Southeast,Urban
University of North Carolina at Chapel Hill School of Medicine,North Carolina,"October 1, 2026",No,2026-10-01,University of North Carolina at  Chapel Hill School of Medicine,University of North Carolina at  Chapel Hill School of Medicine,NC,MD,3.79,512,NR,True,Chapel Hill,Southeast,Suburban
Wake Forest University School of Medicine,North Carolina,"October 15, 2026",Yes,2026-10-15,Wake Forest School of Medicine,Wake Forest School of Medicine,NC,MD,3.83,511,NR,False,Winston-Salem,Southeast,Urban
University of North Dakota School of Medicine and Health Sciences,North Dakota,"October 15, 2026",Yes,2026-10-15,University of  North Dakota School of Medicine and Health Sciences,University of  North Dakota School of Medicine and Health Sciences,ND,MD,3.80,507,NR,True,Grand Forks,Midwest,Urban
Case Western Reserve University School of Medicine,Ohio,"October 15, 2026",Yes,2026-10-15,Case Western Reserve University School of Medicine,Case Western Reserve University School of Medicine,OH,MD,3.90,517,NR,False,Cleveland,Midwest,Urban
Northeast Ohio Medical University,Ohio,"November 2, 2026",Yes,2026-11-02,Northeast Ohio Medical University,Northeast Ohio Medical University,OH,MD,3.75,511,NR,True,Rootstown,Midwest,Rural
Ohio State University College of Medicine,Ohio,"November 2, 2026",Yes,2026-11-02,The Ohio State University College of Medicine,The Ohio State University College of Medicine,OH,MD,3.83,514,NR,True,Columbus,Midwest,Urban
The University of Toledo College of Medicine and Life Sciences,Ohio,"November 16, 2026",Yes,2026-11-16,The University of  Toledo College of Medicine and Life Sciences,The University of  Toledo College of Medicine and Life Sciences,OH,MD,3.78,510,NR,True,Toledo,Midwest,Urban
University of Cincinnati College of Medicine,Ohio,"December 1, 2026",Yes,2026-12-01,University of Cincinnati  College of Medicine,University of Cincinnati  College of Medicine,OH,MD,3.86,514,NR,True,Cincinnati,Midwest,Urban
Wright State University Boonshoft School of Medicine,Ohio,"November 2, 2026",Yes,2026-11-02,Wright State  University Boonshoft School of Medicine,Wright State  University Boonshoft School of Medicine,OH,MD,3.68,508.76,NR,True,Dayton,Midwest,Suburban
University of Oklahoma College of Medicine,Oklahoma,"October 15, 2026",Yes,2026-10-15,University of Oklahoma College of Medicine,University of Oklahoma College of Medicine,OK,MD,3.79,511,492,True,Oklahoma City,Southwest,Urban
Oregon Health & Science University School of Medicine,Oregon,"October 15, 2026",Yes,2026-10-15,Oregon  Health & Science University School of Medicine,Oregon  Health & Science University School of Medicine,OR,MD,3.66,509,497,True,Portland,West,Urban
Drexel University College of Medicine,Pennsylvania,"December 1, 2026",Yes,2026-12-01,Drexel University College of Medicine,Drexel University College of Medicine,PA,MD,3.76,512,NR,False,Philadelphia,Mid-Atlantic,Urban
Geisinger Commonwealth School of Medicine,Pennsylvania,"December 15, 2026",Yes,2026-12-15,Geisinger Commonwealth School of Medicine,Geisinger Commonwealth School of Medicine,PA,MD,3.81,513.06,NR,False,Scranton,Mid-Atlantic,Urban
Lewis Katz School of Medicine at Temple University,Pennsylvania,"December 15, 2026",Yes,2026-12-15,Temple University Lewis Katz  School of Medicine,Temple University Lewis Katz  School of Medicine,PA,MD,3.70,510,NR,True,Philadelphia,Mid-Atlantic,Urban
Pennsylvania State University College of Medicine,Pennsylvania,"November 16, 2026",Yes,2026-11-16,Pennsylvania State University  College of Medicine,Pennsylvania State University  College of Medicine,PA,MD,3.75,511,NR,True,Hershey,Mid-Atlantic,Town
Perelman School of Medicine at the University of Pennsylvania,Pennsylvania,"October 15, 2026",Yes,2026-10-15,Perelman School of Medicine University of Pennsylvania,Perelman School of Medicine University of Pennsylvania,PA,MD,3.97,521,NR,False,Philadelphia,Mid-Atlantic,Urban
Sidney Kimmel Medical College at Thomas Jefferson University,Pennsylvania,"November 16, 2026",Yes,2026-11-16,Sidney Kimmel Medical College at Thomas Jefferson University,Sidney Kimmel Medical College at Thomas Jefferson University,PA,MD,3.80,513,NR,False,Philadelphia,Mid-Atlantic,Urban
University of Pittsburgh School of Medicine,Pennsylvania,"October 15, 2026",Yes,2026-10-15,University of Pittsburgh School of Medicine,University of Pittsburgh School of Medicine,PA,MD,3.91,516,NR,True,Pittsburgh,Mid-Atlantic,Urban
Ponce Health Sciences University School of Medicine,Puerto Rico,"December 31, 2026",Yes,2026-12-31,Ponce School of  Medicine and Health Sciences,Ponce School of  Medicine and Health Sciences,PR,MD,3.50,499,494,False,Ponce,Puerto Rico,Urban
San Juan Bautista School of Medicine,Puerto Rico,"December 15, 2026",Yes,2026-12-15,San  Juan Bautista School of Medicine,San  Juan Bautista School of Medicine,PR,MD,3.57,499,492,False,Caguas,Puerto Rico,Urban
Universidad Central del Caribe School of Medicine,Puerto Rico,"December 31, 2026",Yes,2026-12-31,Universidad Central Del Caribe  School of Medicine,Universidad Central Del Caribe  School of Medicine,PR,MD,3.80,501,495,False,Bayamón,Puerto Rico,Urban
University of Puerto Rico School of Medicine,Puerto Rico,"December 1, 2026",No,2026-12-01,University of Puerto Rico School of  Medicine,University of Puerto Rico School of  Medicine,PR,MD,3.80,506,495,True,San Juan,Puerto Rico,Urban
The Warren Alpert Medical School of Brown University,Rhode Island,"October 7, 2026",Yes,2026-10-07,Brown  University The Warren Alpert Medical School,Brown  University The Warren Alpert Medical School,RI,MD,3.83,516,NR,False,Providence,Northeast,Urban
Medical University of South Carolina College of Medicine,South Carolina,"November 2, 2026",No,2026-11-02,Medical University of South Carolina College of Medicine,Medical University of South Carolina College of Medicine,SC,MD,3.85,511.2,500,True,Charleston,Southeast,Urban
