school_name,state_aamc,application_deadline,criminal_background_check,application_deadline_date,shemmassian_school_name,medical_school,state_shemmassian,degree_type,average_gpa,average_mcat,minimum_mcat,is_public
Howard University College of Medicine,District of Columbia,"December 15, 2026",Yes,2026-12-15,Howard University College of Medicine,Howard University College of Medicine,DC,MD,3.61,507,494,False
Charles E. Schmidt College of Medicine at Florida Atlantic University,Florida,"November 16, 2026",Yes,2026-11-16,Florida Atlantic  University Charles E. Schmidt College of Medicine,Florida Atlantic  University Charles E. Schmidt College of Medicine,FL,MD,3.83,513,NR,True
Florida International University Herbert Wertheim College of Medicine,Florida,"December 1, 2026",Yes,2026-12-01,Florida International University Herbert Wertheim College of  Medicine,Florida International University Herbert Wertheim College of  Medicine,FL,MD,3.82,510,NR,True
Florida State University College of Medicine,Florida,"November 15, 2026",No,2026-11-15,Florida State University College  of Medicine,Florida State University College  of Medicine,FL,MD,3.68,507,498,True
Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Florida,"November 30, 2026",Yes,2026-11-30,Nova  Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Nova  Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,FL,MD,3.75,512,NR,False
USF Health Morsani College of Medicine,Florida,"January 15, 2027",Yes,2027-01-15,University of South Florida Health Morsani College of Medicine,University of South Florida Health Morsani College of Medicine,FL,MD,3.96,520,NR,True
University of Central Florida College of Medicine,Florida,"November 16, 2026",Yes,2026-11-16,University of Central Florida College of Medicine,University of Central Florida College of Medicine,FL,MD,3.89,514,500,True
University of Florida College of Medicine,Florida,"December 1, 2026",Yes,2026-12-01,University of Florida College of  Medicine,University of Florida College of  Medicine,FL,MD,3.86,515,500,True
University of Miami Leonard M. Miller School of Medicine,Florida,"December 1, 2026",Yes,2026-12-01,University of Miami Miller School of Medicine,University of Miami Miller School of Medicine,FL,MD,3.86,516,NR - (510 for 3-year accelerated path),False
Emory University School of Medicine,Georgia,"October 15, 2026",No,2026-10-15,Emory  University School of Medicine,Emory  University School of Medicine,GA,MD,3.70,514,NR,False
Medical College of Georgia at Augusta University,Georgia,"November 2, 2026",Yes,2026-11-02,Medical College of Georgia at Augusta University,Medical College of Georgia at Augusta University,GA,MD,3.80,512,NR,True
Mercer University School of Medicine,Georgia,"November 2, 2026",Yes,2026-11-02,Mercer  University School of Medicine,Mercer  University School of Medicine,GA,MD,3.69,503,493–494,False
Morehouse School of Medicine,Georgia,"December 1, 2026",Yes,2026-12-01,Morehouse  School of Medicine,Morehouse  School of Medicine,GA,MD,3.64,504.1,NR,False
University of Georgia School of Medicine,Georgia,"October 15, 2026",Yes,2026-10-15,,,,,,,,
"University of Hawaii, John A. Burns School of Medicine",Hawaii,"November 2, 2026",Yes,2026-11-02,University of Hawaii John A. Burns School of Medicine,University of Hawaii John A. Burns School of Medicine,HI,MD,3.79,512,NR,True
Carle Illinois College of Medicine,Illinois,"October 31, 2026",Yes,2026-10-31,Carle Illinois College of  Medicine,Carle Illinois College of  Medicine,IL,MD,3.73,513,498,True
Chicago Medical School at Rosalind Franklin University of Medicine & Science,Illinois,"November 2, 2026",Yes,2026-11-02,Chicago Medical School at Rosalind Franklin University of Medicine and  Science,Chicago Medical School at Rosalind Franklin University of Medicine and  Science,IL,MD,3.69,508,510 The school notes most successful applicants have a 510 or above.,False
Loyola University Chicago Stritch School of Medicine,Illinois,"December 11, 2026",Yes,2026-12-11,Loyola  University of Chicago Stritch School of Medicine,Loyola  University of Chicago Stritch School of Medicine,IL,MD,3.8,512,NR,False
Northwestern University The Feinberg School of Medicine,Illinois,"November 2, 2026",Yes,2026-11-02,Northwestern  University The Feinberg School of Medicine,Northwestern  University The Feinberg School of Medicine,IL,MD,3.93,521,NR,False
Rush Medical College of Rush University Medical Center,Illinois,"October 1, 2026",Yes,2026-10-01,Rush Medical College of Rush University,Rush Medical College of Rush University,IL,MD,3.72,510,NR,False
Southern Illinois University School of Medicine,Illinois,"November 16, 2026",No,2026-11-16,Southern  Illinois University School of Medicine,Southern  Illinois University School of Medicine,IL,MD,3.7,508,498,True
University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,Illinois,"November 16, 2026",Yes,2026-11-16,University of  Chicago Pritzker School of Medicine,University of  Chicago Pritzker School of Medicine,IL,MD,3.91,521,NR,False
University of Illinois College of Medicine,Illinois,"November 2, 2026",Yes,2026-11-02,University of  Illinois College of Medicine,University of  Illinois College of Medicine,IL,MD,3.82,511,NR,True
Indiana University School of Medicine,Indiana,"November 16, 2026",Yes,2026-11-16,Indiana University  School of Medicine,Indiana University  School of Medicine,IN,MD,3.85,512,NR,True
University of Iowa Roy J. and Lucille A. Carver College of Medicine,Iowa,"November 2, 2026",Yes,2026-11-02,University of Iowa Carver College of Medicine,University of Iowa Carver College of Medicine,IA,MD,3.81,514,NR,True
University of Kansas School of Medicine,Kansas,"October 15, 2026",No,2026-10-15,University of Kansas School of Medicine,University of Kansas School of Medicine,KS,MD,3.84,509,NR,True
University of Kentucky College of Medicine,Kentucky,"November 2, 2026",Yes,2026-11-02,University  of Kentucky College of Medicine,University  of Kentucky College of Medicine,KY,MD,3.84,508,495,True
University of Louisville School of Medicine,Kentucky,"November 2, 2026",Yes,2026-11-02,University of Louisville School of Medicine,University of Louisville School of Medicine,KY,MD,3.78,507,NR,True
Louisiana State University School of Medicine in New Orleans,Louisiana,"November 2, 2026",Yes,2026-11-02,Louisiana  State University – New Orleans School of Medicine,Louisiana  State University – New Orleans School of Medicine,LA,MD,3.76,509 (74th %-ile),NR,True
Louisiana State University School of Medicine in Shreveport,Louisiana,"November 2, 2026",Yes,2026-11-02,Louisiana State University – Shreveport School of Medicine,Louisiana State University – Shreveport School of Medicine,LA,MD,3.80,508,NR,True
Tulane University School of Medicine,Louisiana,"October 1, 2026",Yes,2026-10-01,Tulane University  School of Medicine,Tulane University  School of Medicine,LA,MD,3.70,510,NR,False
Johns Hopkins University School of Medicine,Maryland,"October 15, 2026",No,2026-10-15,Johns Hopkins University School of Medicine,Johns Hopkins University School of Medicine,MD,MD,3.92,521,NR,False
Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,Maryland,"October 15, 2026",Yes,2026-10-15,Uniformed Services University of the Health Sciences F. Edward Hebert School  of Medicine,Uniformed Services University of the Health Sciences F. Edward Hebert School  of Medicine,MD,MD,3.70,510,496,True
University of Maryland School of Medicine,Maryland,"November 2, 2026",No,2026-11-02,University of  Maryland School of Medicine,University of  Maryland School of Medicine,MD,MD,3.84,512,NR,True
Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,Massachusetts,"November 2, 2026",Yes,2026-11-02,Boston University School of Medicine,Boston University School of Medicine,MA,MD,3.76,517,NR,False
Harvard Medical School,Massachusetts,"October 15, 2026",No,2026-10-15,Harvard Medical  School,Harvard Medical  School,MA,MD,3.90,520.48,NR,False
Tufts University School of Medicine,Massachusetts,"November 2, 2026",Yes,2026-11-02,Tufts University School of Medicine,Tufts University School of Medicine,MA,MD,3.82,514,NR,False
University of Massachusetts T.H. Chan School of Medicine,Massachusetts,"October 15, 2026",Yes,2026-10-15,University of Massachusetts Medical School,University of Massachusetts Medical School,MA,MD,3.76,511,NR,True
Covenant HealthCare College of Medicine at Central Michigan University,Michigan,"November 2, 2026",Yes,2026-11-02,Central Michigan University College of Medicine,Central Michigan University College of Medicine,MI,MD,3.80,506,NR,True
Michigan State University College of Human Medicine,Michigan,"October 15, 2026",Yes,2026-10-15,Michigan State University College of  Human Medicine,Michigan State University College of  Human Medicine,MI,MD,3.7,507,NR,True
Oakland University William Beaumont School of Medicine,Michigan,"November 16, 2026",Yes,2026-11-16,Oakland  University William Beaumont School of Medicine,Oakland  University William Beaumont School of Medicine,MI,MD,3.89,510,NR,False
University of Michigan Medical School,Michigan,"September 15, 2026",Yes,2026-09-15,University of Michigan Medical School,University of Michigan Medical School,MI,MD,3.85,516 (92nd %-ile),NR,True
Wayne State University School of Medicine,Michigan,"December 15, 2026",Yes,2026-12-15,Wayne  State University School of Medicine,Wayne  State University School of Medicine,MI,MD,3.78,511,NR,True
Western Michigan University Homer Stryker M.D. School of Medicine,Michigan,"November 16, 2026",Yes,2026-11-16,Western Michigan University School of  Medicine,Western Michigan University School of  Medicine,MI,MD,3.81,512,497,False
Mayo Clinic Alix School of Medicine,Minnesota,"October 1, 2026",Yes,2026-10-01,Mayo Clinic Alix School of Medicine,Mayo Clinic Alix School of Medicine,AZ,MD,3.95,521,508,False
Mayo Clinic Alix School of Medicine,Minnesota,"October 1, 2026",Yes,2026-10-01,Mayo Clinic Alix School of Medicine,Mayo Clinic Alix School of Medicine,MN,MD,3.95,521,NR,False
University of Minnesota Medical School,Minnesota,"October 1, 2026",Yes,2026-10-01,,,,,,,,
University of Mississippi School of Medicine,Mississippi,"October 15, 2026",Yes,2026-10-15,University of Mississippi School of Medicine,University of Mississippi School of Medicine,MS,MD,3.80,506,496,True
Saint Louis University School of Medicine,Missouri,"November 16, 2026",Yes,2026-11-16,Saint Louis University School of Medicine,Saint Louis University School of Medicine,MO,MD,3.90,514,NR,False
University of Missouri-Columbia School of Medicine,Missouri,"October 15, 2026",Yes,2026-10-15,University of Missouri – Columbia School of Medicine,University of Missouri – Columbia School of Medicine,MO,MD,3.83,509,494,True
University of Missouri-Kansas City School of Medicine,Missouri,"July 1, 2026",No,2026-07-01,University of Missouri – Kansas  City School of Medicine,University of Missouri – Kansas  City School of Medicine,MO,MD,3.78 3.5 Minimum required for OOS applicants. 3.0 minimum for IS applicants.,506,495,True
Washington University in St. Louis School of Medicine,Missouri,"October 15, 2026",Yes,2026-10-15,Washington University School of  Medicine,Washington University School of  Medicine,MO,MD,3.88,519.5,NR,False
Creighton University School of Medicine,Nebraska,"November 2, 2026",Yes,2026-11-02,Creighton University School of Medicine,Creighton University School of Medicine,NE,MD,3.86,513,NR,False
University of Nebraska College of Medicine,Nebraska,"November 2, 2026",No,2026-11-02,University of Nebraska Medical Center College of Medicine,University of Nebraska Medical Center College of Medicine,NE,MD,3.87,512,NR,False
Kirk Kerkorian School of Medicine at UNLV,Nevada,"October 1, 2026",Yes,2026-10-01,University of Nevada Las Vegas School of  Medicine,University of Nevada Las Vegas School of  Medicine,NV,MD,3.6-3.7,510,NR,True
Roseman University College of Medicine,Nevada,"March 1, 2027",Yes,2027-03-01,,,,,,,,
"University of Nevada, Reno School of Medicine",Nevada,"October 1, 2026",No,2026-10-01,University of Nevada Reno School of  Medicine,University of Nevada Reno School of  Medicine,NV,MD,3.76,509,500,True
Geisel School of Medicine at Dartmouth,New Hampshire,"November 2, 2026",Yes,2026-11-02,Geisel School  of Medicine at Dartmouth,Geisel School  of Medicine at Dartmouth,NH,MD,3.77,516,NR,False
Cooper Medical School of Rowan University,New Jersey,"November 16, 2026",Yes,2026-11-16,Cooper Medical School of  Rowan University,Cooper Medical School of  Rowan University,NJ,MD,3.79,512,NR,True
Hackensack Meridian School of Medicine,New Jersey,"December 1, 2026",Yes,2026-12-01,Hackensack Meridian School of Medicine,Hackensack Meridian School of Medicine,NJ,MD,3.8,514,NR,False
Rutgers New Jersey Medical School,New Jersey,"December 1, 2026",Yes,2026-12-01,Rutgers New Jersey Medical  School,Rutgers New Jersey Medical  School,NJ,MD,3.70,515,NR,True
"Rutgers, Robert Wood Johnson Medical School",New Jersey,"December 1, 2026",Yes,2026-12-01,Rutgers Robert Wood Johnson Medical School,Rutgers Robert Wood Johnson Medical School,NJ,MD,3.70,514,NR,True
University of New Mexico School of Medicine,New Mexico,"November 2, 2026",Yes,2026-11-02,University of New Mexico School of Medicine,University of New Mexico School of Medicine,NM,MD,3.75,507,494,True
Albany Medical College,New York,"November 2, 2026",Yes,2026-11-02,Albany  Medical College,Albany  Medical College,NY,MD,3.80,512,NR,False
Albert Einstein College of Medicine,New York,"October 15, 2026",Yes,2026-10-15,Albert  Einstein College of Medicine,Albert  Einstein College of Medicine,NY,MD,3.82,516,NR,False
Columbia University Vagelos College of Physicians and Surgeons,New York,"October 15, 2026",Yes,2026-10-15,Columbia University College of Physicians and Surgeons,Columbia University College of Physicians and Surgeons,NY,MD,3.85,521,NR,False
Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,New York,"November 2, 2026",Yes,2026-11-02,Hofstra  Northwell School of Medicine,Hofstra  Northwell School of Medicine,NY,MD,3.92,518,NR,False
Icahn School of Medicine at Mount Sinai,New York,"October 1, 2026",No,2026-10-01,Icahn School of Medicine at Mount  Sinai,Icahn School of Medicine at Mount  Sinai,NY,MD,3.81,519,NR,False
Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,New York,"November 16, 2026",Yes,2026-11-16,University at Buffalo  Jacobs School of Medicine and Biomedical Sciences,University at Buffalo  Jacobs School of Medicine and Biomedical Sciences,NY,MD,3.70,510,NR,True
NYU Grossman Long Island School of Medicine,New York,"November 2, 2026",Yes,2026-11-02,New York  University Long Island School of Medicine,New York  University Long Island School of Medicine,NY,MD,3.94,516,NR,False
NYU Grossman School of Medicine,New York,"October 15, 2026",Yes,2026-10-15,New York  University Grossman School of Medicine,New York  University Grossman School of Medicine,NY,MD,3.98,523,NR,False
New York Medical College,New York,"December 15, 2026",Yes,2026-12-15,New York Medical College,New York Medical College,NY,MD,3.60,516,NR,False
Renaissance School of Medicine at Stony Brook University,New York,"November 16, 2026",Yes,2026-11-16,Stony Brook  University School of Medicine,Stony Brook  University School of Medicine,NY,MD,3.89,514,NR,True
SUNY Downstate Health Sciences University College of Medicine,New York,"December 1, 2026",Yes,2026-12-01,SUNY – Downstate  Medical Center College of Medicine,SUNY – Downstate  Medical Center College of Medicine,NY,MD,3.73,513,NR,True
State University of New York Upstate Medical University Alan and Marlene Norton College of Medicine,New York,"October 15, 2026",Yes,2026-10-15,SUNY – Upstate Medical  University,SUNY – Upstate Medical  University,NY,MD,3.74,512,NR,True
University of Rochester School of Medicine and Dentistry,New York,"October 15, 2026",Yes,2026-10-15,University of Rochester School of Medicine and Dentistry,University of Rochester School of Medicine and Dentistry,NY,MD,3.60,517,NR,False
Weill Cornell Medicine,New York,"October 15, 2026",Yes,2026-10-15,Weill Cornell Medical College,Weill Cornell Medical College,NY,MD,3.90,518,NR,False
Brody School of Medicine at East Carolina University,North Carolina,"October 1, 2026",Yes,2026-10-01,East  Carolina University Brody School of Medicine,East  Carolina University Brody School of Medicine,NC,MD,3.77,510,NR,True
Duke University School of Medicine,North Carolina,"October 15, 2026",No,2026-10-15,Duke University School of Medicine,Duke University School of Medicine,NC,MD,3.90,519,NR,False
Methodist University Cape Fear Valley Health School of Medicine,North Carolina,"November 16, 2026",Yes,2026-11-16,,,,,,,,
University of North Carolina at Chapel Hill School of Medicine,North Carolina,"October 1, 2026",No,2026-10-01,University of North Carolina at  Chapel Hill School of Medicine,University of North Carolina at  Chapel Hill School of Medicine,NC,MD,3.79,512,NR,True
Wake Forest University School of Medicine,North Carolina,"October 15, 2026",Yes,2026-10-15,Wake Forest School of Medicine,Wake Forest School of Medicine,NC,MD,3.83,511,NR,False
University of North Dakota School of Medicine and Health Sciences,North Dakota,"October 15, 2026",Yes,2026-10-15,University of  North Dakota School of Medicine and Health Sciences,University of  North Dakota School of Medicine and Health Sciences,ND,MD,3.80,507,NR,True
Case Western Reserve University School of Medicine,Ohio,"October 15, 2026",Yes,2026-10-15,Case Western Reserve University School of Medicine,Case Western Reserve University School of Medicine,OH,MD,3.90,517,NR,False
Northeast Ohio Medical University,Ohio,"November 2, 2026",Yes,2026-11-02,Northeast Ohio Medical University,Northeast Ohio Medical University,OH,MD,3.75,511,NR,True
Ohio State University College of Medicine,Ohio,"November 2, 2026",Yes,2026-11-02,The Ohio State University College of Medicine,The Ohio State University College of Medicine,OH,MD,3.83,514,NR,True
The University of Toledo College of Medicine and Life Sciences,Ohio,"November 16, 2026",Yes,2026-11-16,The University of  Toledo College of Medicine and Life Sciences,The University of  Toledo College of Medicine and Life Sciences,OH,MD,3.78,510,NR,True
University of Cincinnati College of Medicine,Ohio,"December 1, 2026",Yes,2026-12-01,University of Cincinnati  College of Medicine,University of Cincinnati  College of Medicine,OH,MD,3.86,514,NR,True
Wright State University Boonshoft School of Medicine,Ohio,"November 2, 2026",Yes,2026-11-02,Wright State  University Boonshoft School of Medicine,Wright State  University Boonshoft School of Medicine,OH,MD,3.68,508.76,NR,True
University of Oklahoma College of Medicine,Oklahoma,"October 15, 2026",Yes,2026-10-15,University of Oklahoma College of Medicine,University of Oklahoma College of Medicine,OK,MD,3.79,511,492,True
Oregon Health & Science University School of Medicine,Oregon,"October 15, 2026",Yes,2026-10-15,Oregon  Health & Science University School of Medicine,Oregon  Health & Science University School of Medicine,OR,MD,3.66,509,497,True
Drexel University College of Medicine,Pennsylvania,"December 1, 2026",Yes,2026-12-01,Drexel University College of Medicine,Drexel University College of Medicine,PA,MD,3.76,512,NR,False
Geisinger Commonwealth School of Medicine,Pennsylvania,"December 15, 2026",Yes,2026-12-15,Geisinger Commonwealth School of Medicine,Geisinger Commonwealth School of Medicine,PA,MD,3.81,513.06,NR,False
Lewis Katz School of Medicine at Temple University,Pennsylvania,"December 15, 2026",Yes,2026-12-15,Temple University Lewis Katz  School of Medicine,Temple University Lewis Katz  School of Medicine,PA,MD,3.70,510,NR,True
Pennsylvania State University College of Medicine,Pennsylvania,"November 16, 2026",Yes,2026-11-16,Pennsylvania State University  College of Medicine,Pennsylvania State University  College of Medicine,PA,MD,3.75,511,NR,True
Perelman School of Medicine at the University of Pennsylvania,Pennsylvania,"October 15, 2026",Yes,2026-10-15,Perelman School of Medicine University of Pennsylvania,Perelman School of Medicine University of Pennsylvania,PA,MD,3.97,521,NR,False
Sidney Kimmel Medical College at Thomas Jefferson University,Pennsylvania,"November 16, 2026",Yes,2026-11-16,Sidney Kimmel Medical College at Thomas Jefferson University,Sidney Kimmel Medical College at Thomas Jefferson University,PA,MD,3.80,513,NR,False
University of Pittsburgh School of Medicine,Pennsylvania,"October 15, 2026",Yes,2026-10-15,University of Pittsburgh School of Medicine,University of Pittsburgh School of Medicine,PA,MD,3.91,516,NR,True
Ponce Health Sciences University School of Medicine,Puerto Rico,"December 31, 2026",Yes,2026-12-31,Ponce School of  Medicine and Health Sciences,Ponce School of  Medicine and Health Sciences,PR,MD,3.50,499,494,False
San Juan Bautista School of Medicine,Puerto Rico,"December 15, 2026",Yes,2026-12-15,San  Juan Bautista School of Medicine,San  Juan Bautista School of Medicine,PR,MD,3.57,499,492,False
Universidad Central del Caribe School of Medicine,Puerto Rico,"December 31, 2026",Yes,2026-12-31,Universidad Central Del Caribe  School of Medicine,Universidad Central Del Caribe  School of Medicine,PR,MD,3.80,501,495,False
University of Puerto Rico School of Medicine,Puerto Rico,"December 1, 2026",No,2026-12-01,University of Puerto Rico School of  Medicine,University of Puerto Rico School of  Medicine,PR,MD,3.80,506,495,True
The Warren Alpert Medical School of Brown University,Rhode Island,"October 7, 2026",Yes,2026-10-07,Brown  University The Warren Alpert Medical School,Brown  University The Warren Alpert Medical School,RI,MD,3.83,516,NR,False
Medical University of South Carolina College of Medicine,South Carolina,"November 2, 2026",No,2026-11-02,Medical University of South Carolina College of Medicine,Medical University of South Carolina College of Medicine,SC,MD,3.85,511.2,500,True
"University of South Carolina Kay and C. Edward Floyd, M.D. School of Medicine",South Carolina,"November 2, 2026",Yes,2026-11-02,University of  South Carolina School of Medicine – Columbia,University of  South Carolina School of Medicine – Columbia,SC,MD,3.77,508,NR,True
University of South Carolina School of Medicine Greenville,South Carolina,"November 1, 2026",Yes,2026-11-01,University of South Carolina School of Medicine – Greenville,University of South Carolina School of Medicine – Greenville,SC,MD,3.75,509,NR,True
"University of South Dakota, Sanford School of Medicine",South Dakota,"November 2, 2026",No,2026-11-02,University of South Dakota Sanford School of Medicine,University of South Dakota Sanford School of Medicine,SD,MD,3.79,508.3,496,True
East Tennessee State University James H. Quillen College of Medicine,Tennessee,"November 2, 2026",Yes,2026-11-02,East  Tennessee State University Quillen College of Medicine,East  Tennessee State University Quillen College of Medicine,TN,MD,3.85,513,NR,True
Meharry Medical College,Tennessee,"December 15, 2026",Yes,2026-12-15,Meharry Medical  College School of Medicine,Meharry Medical  College School of Medicine,TN,MD,3.46,503,NR,False
"Thomas F. Frist, Jr. College of Medicine at Belmont University",Tennessee,"November 16, 2026",Yes,2026-11-16,,,,,,,,
University of Tennessee Health Science Center College of Medicine,Tennessee,"October 15, 2026",No,2026-10-15,University  of Tennessee Health Science Center College of Medicine,University  of Tennessee Health Science Center College of Medicine,TN,MD,3.83,513,NR,True
Vanderbilt University School of Medicine,Tennessee,"November 2, 2026",Yes,2026-11-02,Vanderbilt University School of Medicine,Vanderbilt University School of Medicine,TN,MD,3.5-4.0,508-528,NR,False
Anne Burnett Marion School of Medicine at Texas Christian University,Texas,"November 15, 2026",Yes,2026-11-15,TCU and UNTHSC  School of Medicine,TCU and UNTHSC  School of Medicine,TX,MD,3.81,512,NR,False
Spencer Fox Eccles School of Medicine at the University of Utah,Utah,"September 1, 2026",Yes,2026-09-01,University  of Utah School of Medicine,University  of Utah School of Medicine,UT,MD,3.87,514,500,True
"Robert Larner, M.D., College of Medicine at the University of Vermont",Vermont,"November 2, 2026",Yes,2026-11-02,The  University of Vermont Larner College of Medicine,The  University of Vermont Larner College of Medicine,VT,MD,3.70,512,NR,True
Eastern Virginia Medical School at Old Dominion University,Virginia,"November 1, 2026",Yes,2026-11-01,Eastern Virginia Medical School,Eastern Virginia Medical School,VA,MD,3.70,513,NR,True
University of Virginia School of Medicine,Virginia,"November 2, 2026",Yes,2026-11-02,University of  Virginia School of Medicine,University of  Virginia School of Medicine,VA,MD,3.85,518,NR,True
Virginia Commonwealth University School of Medicine,Virginia,"October 15, 2026",Yes,2026-10-15,Virginia  Commonwealth University School of Medicine,Virginia  Commonwealth University School of Medicine,VA,MD,3.70,512,NR,True
Virginia Tech Carilion School of Medicine,Virginia,"December 1, 2026",Yes,2026-12-01,Virginia  Tech Carilion School of Medicine and Research Institute,Virginia  Tech Carilion School of Medicine and Research Institute,VA,MD,3.67,512,NR,True
University of Washington School of Medicine,Washington,"October 1, 2026",Yes,2026-10-01,University of  Washington School of Medicine,University of  Washington School of Medicine,WA,MD,3.7,511,NR,True
Washington State University Elson S. Floyd College of Medicine,Washington,"October 15, 2026",Yes,2026-10-15,Washington State University Elson S. Floyd College of Medicine,Washington State University Elson S. Floyd College of Medicine,WA,MD,3.64,507.9,NR,True
Marshall University Joan C. Edwards School of Medicine,West Virginia,"November 2, 2026",Yes,2026-11-02,Marshall University Joan C. Edwards School of Medicine,Marshall University Joan C. Edwards School of Medicine,WV,MD,3.81,506,496,True
West Virginia University School of Medicine,West Virginia,"November 2, 2026",No,2026-11-02,West  Virginia University School of Medicine,West  Virginia University School of Medicine,WV,MD,3.80,511,NR,True
Medical College of Wisconsin,Wisconsin,"November 2, 2026",Yes,2026-11-02,Medical College of Wisconsin,Medical College of Wisconsin,WI,MD,3.70,508,NR,False
University of Wisconsin School of Medicine and Public Health,Wisconsin,"October 15, 2026",No,2026-10-15,University of Wisconsin School of Medicine and Public Health,University of Wisconsin School of Medicine and Public Health,WI,MD,3.78,511,NR,True
