source_table,population,academic_year,region,state,row_type,metric,statistic,value
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,GPA Non-Science,Mean,3.66
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,GPA Non-Science,SD,0.32
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,GPA Total,Mean,3.52
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,GPA Total,SD,0.37
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,Total Applicants,Count,118.0
A-19,Applicants,2025-2026,Northeast,Maine,state,MCAT CPBS,Mean,126.1
A-19,Applicants,2025-2026,Northeast,Maine,state,MCAT CPBS,SD,3.1
A-19,Applicants,2025-2026,Northeast,Maine,state,MCAT CARS,Mean,125.7
A-19,Applicants,2025-2026,Northeast,Maine,state,MCAT CARS,SD,3.0
A-19,Applicants,2025-2026,Northeast,Maine,state,MCAT BBLS,Mean,126.3
A-19,Applicants,2025-2026,Northeast,Maine,state,MCAT BBLS,SD,3.0
A-19,Applicants,2025-2026,Northeast,Maine,state,MCAT PSBB,Mean,127.6
A-19,Applicants,2025-2026,Northeast,Maine,state,MCAT PSBB,SD,3.1
A-19,Applicants,2025-2026,Northeast,Maine,state,Total MCAT,Mean,505.7
A-19,Applicants,2025-2026,Northeast,Maine,state,Total MCAT,SD,10.8
A-19,Applicants,2025-2026,Northeast,Maine,state,GPA Science,Mean,3.57
A-19,Applicants,2025-2026,Northeast,Maine,state,GPA Science,SD,0.38
A-19,Applicants,2025-2026,Northeast,Maine,state,GPA Non-Science,Mean,3.78
A-19,Applicants,2025-2026,Northeast,Maine,state,GPA Non-Science,SD,0.26
A-19,Applicants,2025-2026,Northeast,Maine,state,GPA Total,Mean,3.66
A-19,Applicants,2025-2026,Northeast,Maine,state,GPA Total,SD,0.3
A-19,Applicants,2025-2026,Northeast,Maine,state,Total Applicants,Count,85.0
A-19,Applicants,2025-2026,Northeast,Maryland,state,MCAT CPBS,Mean,126.6
A-19,Applicants,2025-2026,Northeast,Maryland,state,MCAT CPBS,SD,3.1
A-19,Applicants,2025-2026,Northeast,Maryland,state,MCAT CARS,Mean,125.9
A-19,Applicants,2025-2026,Northeast,Maryland,state,MCAT CARS,SD,2.9
A-19,Applicants,2025-2026,Northeast,Maryland,state,MCAT BBLS,Mean,126.9
A-19,Applicants,2025-2026,Northeast,Maryland,state,MCAT BBLS,SD,3.0
A-19,Applicants,2025-2026,Northeast,Maryland,state,MCAT PSBB,Mean,127.6
A-19,Applicants,2025-2026,Northeast,Maryland,state,MCAT PSBB,SD,2.9
A-19,Applicants,2025-2026,Northeast,Maryland,state,Total MCAT,Mean,506.9
A-19,Applicants,2025-2026,Northeast,Maryland,state,Total MCAT,SD,10.4
A-19,Applicants,2025-2026,Northeast,Maryland,state,GPA Science,Mean,3.54
A-19,Applicants,2025-2026,Northeast,Maryland,state,GPA Science,SD,0.43
A-19,Applicants,2025-2026,Northeast,Maryland,state,GPA Non-Science,Mean,3.79
A-19,Applicants,2025-2026,Northeast,Maryland,state,GPA Non-Science,SD,0.28
A-19,Applicants,2025-2026,Northeast,Maryland,state,GPA Total,Mean,3.64
A-19,Applicants,2025-2026,Northeast,Maryland,state,GPA Total,SD,0.34
A-19,Applicants,2025-2026,Northeast,Maryland,state,Total Applicants,Count,1359.0
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,MCAT CPBS,Mean,127.3
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,MCAT CPBS,SD,2.9
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,MCAT CARS,Mean,126.6
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,MCAT CARS,SD,2.7
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,MCAT BBLS,Mean,127.6
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,MCAT BBLS,SD,2.7
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,MCAT PSBB,Mean,128.4
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,MCAT PSBB,SD,2.7
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,Total MCAT,Mean,509.8
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,Total MCAT,SD,9.4
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,GPA Science,Mean,3.64
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,GPA Science,SD,0.35
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,GPA Non-Science,Mean,3.8
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,GPA Non-Science,SD,0.23
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,GPA Total,Mean,3.71
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,GPA Total,SD,0.27
A-19,Applicants,2025-2026,Northeast,Massachusetts,state,Total Applicants,Count,1465.0
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,MCAT CPBS,Mean,127.0
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,MCAT CPBS,SD,2.8
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,MCAT CARS,Mean,126.5
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,MCAT CARS,SD,2.6
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,MCAT BBLS,Mean,127.5
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,MCAT BBLS,SD,2.8
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,MCAT PSBB,Mean,128.4
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,MCAT PSBB,SD,2.6
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,Total MCAT,Mean,509.4
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,Total MCAT,SD,9.0
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,GPA Science,Mean,3.67
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,GPA Science,SD,0.32
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,GPA Non-Science,Mean,3.83
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,GPA Non-Science,SD,0.2
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,GPA Total,Mean,3.74
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,GPA Total,SD,0.25
A-19,Applicants,2025-2026,Northeast,New Hampshire,state,Total Applicants,Count,129.0
A-19,Applicants,2025-2026,Northeast,New Jersey,state,MCAT CPBS,Mean,126.9
A-19,Applicants,2025-2026,Northeast,New Jersey,state,MCAT CPBS,SD,3.0
A-19,Applicants,2025-2026,Northeast,New Jersey,state,MCAT CARS,Mean,125.9
A-19,Applicants,2025-2026,Northeast,New Jersey,state,MCAT CARS,SD,2.8
A-19,Applicants,2025-2026,Northeast,New Jersey,state,MCAT BBLS,Mean,127.1
A-19,Applicants,2025-2026,Northeast,New Jersey,state,MCAT BBLS,SD,2.9
A-19,Applicants,2025-2026,Northeast,New Jersey,state,MCAT PSBB,Mean,127.7
A-19,Applicants,2025-2026,Northeast,New Jersey,state,MCAT PSBB,SD,2.9
A-19,Applicants,2025-2026,Northeast,New Jersey,state,Total MCAT,Mean,507.6
A-19,Applicants,2025-2026,Northeast,New Jersey,state,Total MCAT,SD,10.1
A-19,Applicants,2025-2026,Northeast,New Jersey,state,GPA Science,Mean,3.58
A-19,Applicants,2025-2026,Northeast,New Jersey,state,GPA Science,SD,0.43
A-19,Applicants,2025-2026,Northeast,New Jersey,state,GPA Non-Science,Mean,3.81
A-19,Applicants,2025-2026,Northeast,New Jersey,state,GPA Non-Science,SD,0.25
A-19,Applicants,2025-2026,Northeast,New Jersey,state,GPA Total,Mean,3.68
A-19,Applicants,2025-2026,Northeast,New Jersey,state,GPA Total,SD,0.33
A-19,Applicants,2025-2026,Northeast,New Jersey,state,Total Applicants,Count,2009.0
A-19,Applicants,2025-2026,Northeast,New York,state,MCAT CPBS,Mean,126.6
A-19,Applicants,2025-2026,Northeast,New York,state,MCAT CPBS,SD,3.0
A-19,Applicants,2025-2026,Northeast,New York,state,MCAT CARS,Mean,125.8
A-19,Applicants,2025-2026,Northeast,New York,state,MCAT CARS,SD,2.8
A-19,Applicants,2025-2026,Northeast,New York,state,MCAT BBLS,Mean,126.9
A-19,Applicants,2025-2026,Northeast,New York,state,MCAT BBLS,SD,3.0
A-19,Applicants,2025-2026,Northeast,New York,state,MCAT PSBB,Mean,127.7
A-19,Applicants,2025-2026,Northeast,New York,state,MCAT PSBB,SD,2.9
A-19,Applicants,2025-2026,Northeast,New York,state,Total MCAT,Mean,507.1
A-19,Applicants,2025-2026,Northeast,New York,state,Total MCAT,SD,10.1
A-19,Applicants,2025-2026,Northeast,New York,state,GPA Science,Mean,3.53
A-19,Applicants,2025-2026,Northeast,New York,state,GPA Science,SD,0.43
A-19,Applicants,2025-2026,Northeast,New York,state,GPA Non-Science,Mean,3.78
A-19,Applicants,2025-2026,Northeast,New York,state,GPA Non-Science,SD,0.26
A-19,Applicants,2025-2026,Northeast,New York,state,GPA Total,Mean,3.64
A-19,Applicants,2025-2026,Northeast,New York,state,GPA Total,SD,0.33
A-19,Applicants,2025-2026,Northeast,New York,state,Total Applicants,Count,3595.0
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,MCAT CPBS,Mean,126.8
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,MCAT CPBS,SD,2.9
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,MCAT CARS,Mean,126.0
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,MCAT CARS,SD,2.7
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,MCAT BBLS,Mean,127.0
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,MCAT BBLS,SD,2.8
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,MCAT PSBB,Mean,127.8
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,MCAT PSBB,SD,2.7
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,Total MCAT,Mean,507.6
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,Total MCAT,SD,9.5
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,GPA Science,Mean,3.59
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,GPA Science,SD,0.4
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,GPA Non-Science,Mean,3.82
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,GPA Non-Science,SD,0.25
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,GPA Total,Mean,3.69
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,GPA Total,SD,0.31
A-19,Applicants,2025-2026,Northeast,Pennsylvania,state,Total Applicants,Count,1626.0
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,MCAT CPBS,Mean,126.8
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,MCAT CPBS,SD,2.6
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,MCAT CARS,Mean,126.1
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,MCAT CARS,SD,2.7
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,MCAT BBLS,Mean,127.0
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,MCAT BBLS,SD,2.5
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,MCAT PSBB,Mean,128.0
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,MCAT PSBB,SD,2.8
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,Total MCAT,Mean,507.9
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,Total MCAT,SD,9.1
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,GPA Science,Mean,3.65
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,GPA Science,SD,0.35
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,GPA Non-Science,Mean,3.85
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,GPA Non-Science,SD,0.22
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,GPA Total,Mean,3.73
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,GPA Total,SD,0.29
A-19,Applicants,2025-2026,Northeast,Rhode Island,state,Total Applicants,Count,107.0
A-19,Applicants,2025-2026,Northeast,Vermont,state,MCAT CPBS,Mean,126.3
A-19,Applicants,2025-2026,Northeast,Vermont,state,MCAT CPBS,SD,2.4
A-19,Applicants,2025-2026,Northeast,Vermont,state,MCAT CARS,Mean,126.6
A-19,Applicants,2025-2026,Northeast,Vermont,state,MCAT CARS,SD,2.6
A-19,Applicants,2025-2026,Northeast,Vermont,state,MCAT BBLS,Mean,127.1
A-19,Applicants,2025-2026,Northeast,Vermont,state,MCAT BBLS,SD,2.2
A-19,Applicants,2025-2026,Northeast,Vermont,state,MCAT PSBB,Mean,128.1
A-19,Applicants,2025-2026,Northeast,Vermont,state,MCAT PSBB,SD,2.1
A-19,Applicants,2025-2026,Northeast,Vermont,state,Total MCAT,Mean,508.1
A-19,Applicants,2025-2026,Northeast,Vermont,state,Total MCAT,SD,7.6
A-19,Applicants,2025-2026,Northeast,Vermont,state,GPA Science,Mean,3.49
A-19,Applicants,2025-2026,Northeast,Vermont,state,GPA Science,SD,0.41
A-19,Applicants,2025-2026,Northeast,Vermont,state,GPA Non-Science,Mean,3.7
A-19,Applicants,2025-2026,Northeast,Vermont,state,GPA Non-Science,SD,0.35
A-19,Applicants,2025-2026,Northeast,Vermont,state,GPA Total,Mean,3.58
A-19,Applicants,2025-2026,Northeast,Vermont,state,GPA Total,SD,0.37
A-19,Applicants,2025-2026,Northeast,Vermont,state,Total Applicants,Count,76.0
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,MCAT CPBS,Mean,126.8
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,MCAT CPBS,SD,3.0
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,MCAT CARS,Mean,126.0
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,MCAT CARS,SD,2.8
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,MCAT BBLS,Mean,127.0
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,MCAT BBLS,SD,2.9
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,MCAT PSBB,Mean,127.8
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,MCAT PSBB,SD,2.8
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,Total MCAT,Mean,507.7
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,Total MCAT,SD,10.0
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,GPA Science,Mean,3.57
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,GPA Science,SD,0.41
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,GPA Non-Science,Mean,3.8
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,GPA Non-Science,SD,0.26
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,GPA Total,Mean,3.67
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,GPA Total,SD,0.32
A-19,Applicants,2025-2026,Northeast,Total for the Region,regional_total,Total Applicants,Count,11278.0
A-19,Applicants,2025-2026,Central,Illinois,state,MCAT CPBS,Mean,126.5
A-19,Applicants,2025-2026,Central,Illinois,state,MCAT CPBS,SD,3.0
A-19,Applicants,2025-2026,Central,Illinois,state,MCAT CARS,Mean,125.8
A-19,Applicants,2025-2026,Central,Illinois,state,MCAT CARS,SD,2.8
A-19,Applicants,2025-2026,Central,Illinois,state,MCAT BBLS,Mean,126.7
A-19,Applicants,2025-2026,Central,Illinois,state,MCAT BBLS,SD,2.9
A-19,Applicants,2025-2026,Central,Illinois,state,MCAT PSBB,Mean,127.7
A-19,Applicants,2025-2026,Central,Illinois,state,MCAT PSBB,SD,2.9
A-19,Applicants,2025-2026,Central,Illinois,state,Total MCAT,Mean,506.8
A-19,Applicants,2025-2026,Central,Illinois,state,Total MCAT,SD,10.0
A-19,Applicants,2025-2026,Central,Illinois,state,GPA Science,Mean,3.59
A-19,Applicants,2025-2026,Central,Illinois,state,GPA Science,SD,0.39
A-19,Applicants,2025-2026,Central,Illinois,state,GPA Non-Science,Mean,3.83
A-19,Applicants,2025-2026,Central,Illinois,state,GPA Non-Science,SD,0.24
A-19,Applicants,2025-2026,Central,Illinois,state,GPA Total,Mean,3.69
A-19,Applicants,2025-2026,Central,Illinois,state,GPA Total,SD,0.3
A-19,Applicants,2025-2026,Central,Illinois,state,Total Applicants,Count,2163.0
A-19,Applicants,2025-2026,Central,Indiana,state,MCAT CPBS,Mean,126.6
A-19,Applicants,2025-2026,Central,Indiana,state,MCAT CPBS,SD,2.9
A-19,Applicants,2025-2026,Central,Indiana,state,MCAT CARS,Mean,125.9
A-19,Applicants,2025-2026,Central,Indiana,state,MCAT CARS,SD,2.7
A-19,Applicants,2025-2026,Central,Indiana,state,MCAT BBLS,Mean,126.6
A-19,Applicants,2025-2026,Central,Indiana,state,MCAT BBLS,SD,2.8
A-19,Applicants,2025-2026,Central,Indiana,state,MCAT PSBB,Mean,127.5
A-19,Applicants,2025-2026,Central,Indiana,state,MCAT PSBB,SD,2.8
A-19,Applicants,2025-2026,Central,Indiana,state,Total MCAT,Mean,506.5
A-19,Applicants,2025-2026,Central,Indiana,state,Total MCAT,SD,9.6
A-19,Applicants,2025-2026,Central,Indiana,state,GPA Science,Mean,3.61
A-19,Applicants,2025-2026,Central,Indiana,state,GPA Science,SD,0.42
A-19,Applicants,2025-2026,Central,Indiana,state,GPA Non-Science,Mean,3.83
A-19,Applicants,2025-2026,Central,Indiana,state,GPA Non-Science,SD,0.27
A-19,Applicants,2025-2026,Central,Indiana,state,GPA Total,Mean,3.71
A-19,Applicants,2025-2026,Central,Indiana,state,GPA Total,SD,0.33
A-19,Applicants,2025-2026,Central,Indiana,state,Total Applicants,Count,730.0
A-19,Applicants,2025-2026,Central,Iowa,state,MCAT CPBS,Mean,126.8
A-19,Applicants,2025-2026,Central,Iowa,state,MCAT CPBS,SD,2.6
A-19,Applicants,2025-2026,Central,Iowa,state,MCAT CARS,Mean,126.2
A-19,Applicants,2025-2026,Central,Iowa,state,MCAT CARS,SD,2.6
A-19,Applicants,2025-2026,Central,Iowa,state,MCAT BBLS,Mean,127.2
A-19,Applicants,2025-2026,Central,Iowa,state,MCAT BBLS,SD,2.6
A-19,Applicants,2025-2026,Central,Iowa,state,MCAT PSBB,Mean,127.9
A-19,Applicants,2025-2026,Central,Iowa,state,MCAT PSBB,SD,2.4
A-19,Applicants,2025-2026,Central,Iowa,state,Total MCAT,Mean,508.0
A-19,Applicants,2025-2026,Central,Iowa,state,Total MCAT,SD,8.3
A-19,Applicants,2025-2026,Central,Iowa,state,GPA Science,Mean,3.65
A-19,Applicants,2025-2026,Central,Iowa,state,GPA Science,SD,0.37
A-19,Applicants,2025-2026,Central,Iowa,state,GPA Non-Science,Mean,3.83
A-19,Applicants,2025-2026,Central,Iowa,state,GPA Non-Science,SD,0.23
A-19,Applicants,2025-2026,Central,Iowa,state,GPA Total,Mean,3.73
A-19,Applicants,2025-2026,Central,Iowa,state,GPA Total,SD,0.28
A-19,Applicants,2025-2026,Central,Iowa,state,Total Applicants,Count,327.0
A-19,Applicants,2025-2026,Central,Kansas,state,MCAT CPBS,Mean,125.7
A-19,Applicants,2025-2026,Central,Kansas,state,MCAT CPBS,SD,2.8
A-19,Applicants,2025-2026,Central,Kansas,state,MCAT CARS,Mean,125.4
A-19,Applicants,2025-2026,Central,Kansas,state,MCAT CARS,SD,2.8
A-19,Applicants,2025-2026,Central,Kansas,state,MCAT BBLS,Mean,126.1
A-19,Applicants,2025-2026,Central,Kansas,state,MCAT BBLS,SD,2.8
A-19,Applicants,2025-2026,Central,Kansas,state,MCAT PSBB,Mean,126.8
A-19,Applicants,2025-2026,Central,Kansas,state,MCAT PSBB,SD,2.7
A-19,Applicants,2025-2026,Central,Kansas,state,Total MCAT,Mean,504.1
A-19,Applicants,2025-2026,Central,Kansas,state,Total MCAT,SD,9.2
A-19,Applicants,2025-2026,Central,Kansas,state,GPA Science,Mean,3.66
A-19,Applicants,2025-2026,Central,Kansas,state,GPA Science,SD,0.35
A-19,Applicants,2025-2026,Central,Kansas,state,GPA Non-Science,Mean,3.85
A-19,Applicants,2025-2026,Central,Kansas,state,GPA Non-Science,SD,0.26
A-19,Applicants,2025-2026,Central,Kansas,state,GPA Total,Mean,3.74
A-19,Applicants,2025-2026,Central,Kansas,state,GPA Total,SD,0.29
A-19,Applicants,2025-2026,Central,Kansas,state,Total Applicants,Count,459.0
A-19,Applicants,2025-2026,Central,Michigan,state,MCAT CPBS,Mean,126.3
A-19,Applicants,2025-2026,Central,Michigan,state,MCAT CPBS,SD,3.0
A-19,Applicants,2025-2026,Central,Michigan,state,MCAT CARS,Mean,125.5
A-19,Applicants,2025-2026,Central,Michigan,state,MCAT CARS,SD,2.7
A-19,Applicants,2025-2026,Central,Michigan,state,MCAT BBLS,Mean,126.5
A-19,Applicants,2025-2026,Central,Michigan,state,MCAT BBLS,SD,2.9
A-19,Applicants,2025-2026,Central,Michigan,state,MCAT PSBB,Mean,127.3
A-19,Applicants,2025-2026,Central,Michigan,state,MCAT PSBB,SD,2.9
A-19,Applicants,2025-2026,Central,Michigan,state,Total MCAT,Mean,505.7
A-19,Applicants,2025-2026,Central,Michigan,state,Total MCAT,SD,9.9
A-19,Applicants,2025-2026,Central,Michigan,state,GPA Science,Mean,3.57
A-19,Applicants,2025-2026,Central,Michigan,state,GPA Science,SD,0.44
A-19,Applicants,2025-2026,Central,Michigan,state,GPA Non-Science,Mean,3.8
A-19,Applicants,2025-2026,Central,Michigan,state,GPA Non-Science,SD,0.27
A-19,Applicants,2025-2026,Central,Michigan,state,GPA Total,Mean,3.68
A-19,Applicants,2025-2026,Central,Michigan,state,GPA Total,SD,0.35
A-19,Applicants,2025-2026,Central,Michigan,state,Total Applicants,Count,1918.0
A-19,Applicants,2025-2026,Central,Minnesota,state,MCAT CPBS,Mean,126.5
A-19,Applicants,2025-2026,Central,Minnesota,state,MCAT CPBS,SD,2.7
A-19,Applicants,2025-2026,Central,Minnesota,state,MCAT CARS,Mean,126.0
A-19,Applicants,2025-2026,Central,Minnesota,state,MCAT CARS,SD,2.6
A-19,Applicants,2025-2026,Central,Minnesota,state,MCAT BBLS,Mean,126.8
A-19,Applicants,2025-2026,Central,Minnesota,state,MCAT BBLS,SD,2.6
A-19,Applicants,2025-2026,Central,Minnesota,state,MCAT PSBB,Mean,127.7
A-19,Applicants,2025-2026,Central,Minnesota,state,MCAT PSBB,SD,2.6
A-19,Applicants,2025-2026,Central,Minnesota,state,Total MCAT,Mean,507.0
A-19,Applicants,2025-2026,Central,Minnesota,state,Total MCAT,SD,8.7
A-19,Applicants,2025-2026,Central,Minnesota,state,GPA Science,Mean,3.6
A-19,Applicants,2025-2026,Central,Minnesota,state,GPA Science,SD,0.38
A-19,Applicants,2025-2026,Central,Minnesota,state,GPA Non-Science,Mean,3.83
A-19,Applicants,2025-2026,Central,Minnesota,state,GPA Non-Science,SD,0.22
A-19,Applicants,2025-2026,Central,Minnesota,state,GPA Total,Mean,3.7
A-19,Applicants,2025-2026,Central,Minnesota,state,GPA Total,SD,0.29
A-19,Applicants,2025-2026,Central,Minnesota,state,Total Applicants,Count,954.0
A-19,Applicants,2025-2026,Central,Missouri,state,MCAT CPBS,Mean,126.3
A-19,Applicants,2025-2026,Central,Missouri,state,MCAT CPBS,SD,2.8
A-19,Applicants,2025-2026,Central,Missouri,state,MCAT CARS,Mean,125.9
A-19,Applicants,2025-2026,Central,Missouri,state,MCAT CARS,SD,2.7
A-19,Applicants,2025-2026,Central,Missouri,state,MCAT BBLS,Mean,126.6
