undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"University of New Mexico-Main Campus, Albuquerque, NM",University of New Mexico-Main Campus,Albuquerque,NM,American Indian or Alaska Native,6,129,4.65,0.9,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,23
"Columbia University in the City of New York, New York, NY",Columbia University in the City of New York,New York,NY,American Indian or Alaska Native,5,204,2.45,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,24
"Florida State University, Tallahassee, FL",Florida State University,Tallahassee,FL,American Indian or Alaska Native,5,357,1.4,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,25
"Fort Lewis College, Durango, CO",Fort Lewis College,Durango,CO,American Indian or Alaska Native,5,8,62.5,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,26
"Texas A & M University, College Station, TX",Texas A & M University,College Station,TX,American Indian or Alaska Native,5,672,0.74,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,27
"Texas Tech University-Lubbock, Lubbock, TX",Texas Tech University-Lubbock,Lubbock,TX,American Indian or Alaska Native,5,234,2.14,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,28
"The University of Utah, Salt Lake City, UT",The University of Utah,Salt Lake City,UT,American Indian or Alaska Native,5,233,2.15,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,29
"University of California-Berkeley, Berkeley, CA",University of California-Berkeley,Berkeley,CA,American Indian or Alaska Native,5,689,0.73,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,30
"University of California-Davis, Davis, CA",University of California-Davis,Davis,CA,American Indian or Alaska Native,5,495,1.01,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,31
"University of Iowa, Iowa City, IA",University of Iowa,Iowa City,IA,American Indian or Alaska Native,5,196,2.55,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,32
"University of Miami, Coral Gables, FL",University of Miami,Coral Gables,FL,American Indian or Alaska Native,5,289,1.73,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,33
"University of South Florida, Tampa, FL",University of South Florida,Tampa,FL,American Indian or Alaska Native,5,512,0.98,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,34
"University of Virginia, Charlottesville, VA",University of Virginia,Charlottesville,VA,American Indian or Alaska Native,5,478,1.05,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,35
"University of Wisconsin-Madison, Madison, WI",University of Wisconsin-Madison,Madison,WI,American Indian or Alaska Native,5,547,0.91,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,36
"Yale University, New Haven, CT",Yale University,New Haven,CT,American Indian or Alaska Native,5,189,2.65,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,37
