source_table,population,academic_year,race_ethnicity,metric,statistic,value
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,MCAT PSBB,SD,2.9
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,MCAT PSBB,SD,2.9
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,MCAT PSBB,SD,2.6
A-18,Applicants,2025-2026,American Indian or Alaska Native,Total MCAT,Mean,500.7
A-18,Applicants,2025-2026,Asian,Total MCAT,Mean,508.8
A-18,Applicants,2025-2026,Black or African American,Total MCAT,Mean,498.1
A-18,Applicants,2025-2026,Hispanic or Latino,Total MCAT,Mean,500.2
A-18,Applicants,2025-2026,Middle Eastern or North African,Total MCAT,Mean,505.4
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,Total MCAT,Mean,501.3
A-18,Applicants,2025-2026,White,Total MCAT,Mean,508.0
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,Total MCAT,Mean,504.0
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,Total MCAT,Mean,505.6
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,Total MCAT,Mean,508.4
A-18,Applicants,2025-2026,American Indian or Alaska Native,Total MCAT,SD,9.7
A-18,Applicants,2025-2026,Asian,Total MCAT,SD,9.6
A-18,Applicants,2025-2026,Black or African American,Total MCAT,SD,10.2
A-18,Applicants,2025-2026,Hispanic or Latino,Total MCAT,SD,10.3
A-18,Applicants,2025-2026,Middle Eastern or North African,Total MCAT,SD,10.0
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,Total MCAT,SD,10.5
A-18,Applicants,2025-2026,White,Total MCAT,SD,8.5
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,Total MCAT,SD,9.9
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,Total MCAT,SD,9.9
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,Total MCAT,SD,9.2
A-18,Applicants,2025-2026,American Indian or Alaska Native,GPA Science,Mean,3.34
A-18,Applicants,2025-2026,Asian,GPA Science,Mean,3.64
A-18,Applicants,2025-2026,Black or African American,GPA Science,Mean,3.25
A-18,Applicants,2025-2026,Hispanic or Latino,GPA Science,Mean,3.39
A-18,Applicants,2025-2026,Middle Eastern or North African,GPA Science,Mean,3.6
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,GPA Science,Mean,3.31
A-18,Applicants,2025-2026,White,GPA Science,Mean,3.64
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,GPA Science,Mean,3.46
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,GPA Science,Mean,3.53
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,GPA Science,Mean,3.61
A-18,Applicants,2025-2026,American Indian or Alaska Native,GPA Science,SD,0.48
A-18,Applicants,2025-2026,Asian,GPA Science,SD,0.38
A-18,Applicants,2025-2026,Black or African American,GPA Science,SD,0.5
A-18,Applicants,2025-2026,Hispanic or Latino,GPA Science,SD,0.46
A-18,Applicants,2025-2026,Middle Eastern or North African,GPA Science,SD,0.42
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,GPA Science,SD,0.48
A-18,Applicants,2025-2026,White,GPA Science,SD,0.35
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,GPA Science,SD,0.47
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,GPA Science,SD,0.42
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,GPA Science,SD,0.4
A-18,Applicants,2025-2026,American Indian or Alaska Native,GPA Non-Science,Mean,3.71
A-18,Applicants,2025-2026,Asian,GPA Non-Science,Mean,3.83
A-18,Applicants,2025-2026,Black or African American,GPA Non-Science,Mean,3.65
A-18,Applicants,2025-2026,Hispanic or Latino,GPA Non-Science,Mean,3.73
A-18,Applicants,2025-2026,Middle Eastern or North African,GPA Non-Science,Mean,3.82
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,GPA Non-Science,Mean,3.66
A-18,Applicants,2025-2026,White,GPA Non-Science,Mean,3.84
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,GPA Non-Science,Mean,3.75
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,GPA Non-Science,Mean,3.78
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,GPA Non-Science,Mean,3.81
A-18,Applicants,2025-2026,American Indian or Alaska Native,GPA Non-Science,SD,0.28
A-18,Applicants,2025-2026,Asian,GPA Non-Science,SD,0.23
A-18,Applicants,2025-2026,Black or African American,GPA Non-Science,SD,0.34
A-18,Applicants,2025-2026,Hispanic or Latino,GPA Non-Science,SD,0.3
A-18,Applicants,2025-2026,Middle Eastern or North African,GPA Non-Science,SD,0.26
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,GPA Non-Science,SD,0.38
A-18,Applicants,2025-2026,White,GPA Non-Science,SD,0.23
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,GPA Non-Science,SD,0.3
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,GPA Non-Science,SD,0.27
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,GPA Non-Science,SD,0.26
A-18,Applicants,2025-2026,American Indian or Alaska Native,GPA Total,Mean,3.51
A-18,Applicants,2025-2026,Asian,GPA Total,Mean,3.72
A-18,Applicants,2025-2026,Black or African American,GPA Total,Mean,3.43
A-18,Applicants,2025-2026,Hispanic or Latino,GPA Total,Mean,3.53
A-18,Applicants,2025-2026,Middle Eastern or North African,GPA Total,Mean,3.69
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,GPA Total,Mean,3.46
A-18,Applicants,2025-2026,White,GPA Total,Mean,3.72
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,GPA Total,Mean,3.59
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,GPA Total,Mean,3.64
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,GPA Total,Mean,3.7
A-18,Applicants,2025-2026,American Indian or Alaska Native,GPA Total,SD,0.37
A-18,Applicants,2025-2026,Asian,GPA Total,SD,0.3
A-18,Applicants,2025-2026,Black or African American,GPA Total,SD,0.4
A-18,Applicants,2025-2026,Hispanic or Latino,GPA Total,SD,0.36
A-18,Applicants,2025-2026,Middle Eastern or North African,GPA Total,SD,0.32
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,GPA Total,SD,0.38
A-18,Applicants,2025-2026,White,GPA Total,SD,0.27
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,GPA Total,SD,0.37
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,GPA Total,SD,0.33
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,GPA Total,SD,0.31
A-18,Matriculants,2025-2026,American Indian or Alaska Native,MCAT CPBS,Mean,125.8
A-18,Matriculants,2025-2026,Asian,MCAT CPBS,Mean,128.8
A-18,Matriculants,2025-2026,Black or African American,MCAT CPBS,Mean,126.5
A-18,Matriculants,2025-2026,Hispanic or Latino,MCAT CPBS,Mean,126.5
A-18,Matriculants,2025-2026,Middle Eastern or North African,MCAT CPBS,Mean,128.2
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,MCAT CPBS,Mean,128.1
A-18,Matriculants,2025-2026,White,MCAT CPBS,Mean,127.9
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,MCAT CPBS,Mean,127.6
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,MCAT CPBS,Mean,127.7
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,MCAT CPBS,Mean,128.2
A-18,Matriculants,2025-2026,American Indian or Alaska Native,MCAT CPBS,SD,2.8
A-18,Matriculants,2025-2026,Asian,MCAT CPBS,SD,2.0
A-18,Matriculants,2025-2026,Black or African American,MCAT CPBS,SD,2.2
A-18,Matriculants,2025-2026,Hispanic or Latino,MCAT CPBS,SD,2.4
A-18,Matriculants,2025-2026,Middle Eastern or North African,MCAT CPBS,SD,2.0
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,MCAT CPBS,SD,2.3
A-18,Matriculants,2025-2026,White,MCAT CPBS,SD,2.1
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,MCAT CPBS,SD,2.1
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,MCAT CPBS,SD,2.2
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,MCAT CPBS,SD,2.2
A-18,Matriculants,2025-2026,American Indian or Alaska Native,MCAT CARS,Mean,125.9
A-18,Matriculants,2025-2026,Asian,MCAT CARS,Mean,127.3
A-18,Matriculants,2025-2026,Black or African American,MCAT CARS,Mean,125.7
A-18,Matriculants,2025-2026,Hispanic or Latino,MCAT CARS,Mean,125.5
A-18,Matriculants,2025-2026,Middle Eastern or North African,MCAT CARS,Mean,126.2
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,MCAT CARS,Mean,126.2
A-18,Matriculants,2025-2026,White,MCAT CARS,Mean,127.3
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,MCAT CARS,Mean,126.4
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,MCAT CARS,Mean,127.0
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,MCAT CARS,Mean,127.3
A-18,Matriculants,2025-2026,American Indian or Alaska Native,MCAT CARS,SD,2.1
A-18,Matriculants,2025-2026,Asian,MCAT CARS,SD,2.2
A-18,Matriculants,2025-2026,Black or African American,MCAT CARS,SD,2.3
A-18,Matriculants,2025-2026,Hispanic or Latino,MCAT CARS,SD,2.4
A-18,Matriculants,2025-2026,Middle Eastern or North African,MCAT CARS,SD,2.3
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,MCAT CARS,SD,2.2
A-18,Matriculants,2025-2026,White,MCAT CARS,SD,2.2
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,MCAT CARS,SD,2.1
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,MCAT CARS,SD,2.3
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,MCAT CARS,SD,2.2
A-18,Matriculants,2025-2026,American Indian or Alaska Native,MCAT BBLS,Mean,126.3
A-18,Matriculants,2025-2026,Asian,MCAT BBLS,Mean,128.8
A-18,Matriculants,2025-2026,Black or African American,MCAT BBLS,Mean,126.9
A-18,Matriculants,2025-2026,Hispanic or Latino,MCAT BBLS,Mean,126.9
A-18,Matriculants,2025-2026,Middle Eastern or North African,MCAT BBLS,Mean,128.3
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,MCAT BBLS,Mean,128.9
A-18,Matriculants,2025-2026,White,MCAT BBLS,Mean,128.2
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,MCAT BBLS,Mean,127.7
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,MCAT BBLS,Mean,128.0
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,MCAT BBLS,Mean,128.3
A-18,Matriculants,2025-2026,American Indian or Alaska Native,MCAT BBLS,SD,2.3
A-18,Matriculants,2025-2026,Asian,MCAT BBLS,SD,1.9
A-18,Matriculants,2025-2026,Black or African American,MCAT BBLS,SD,2.1
A-18,Matriculants,2025-2026,Hispanic or Latino,MCAT BBLS,SD,2.3
A-18,Matriculants,2025-2026,Middle Eastern or North African,MCAT BBLS,SD,1.9
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,MCAT BBLS,SD,2.4
A-18,Matriculants,2025-2026,White,MCAT BBLS,SD,2.0
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,MCAT BBLS,SD,1.9
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,MCAT BBLS,SD,2.1
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,MCAT BBLS,SD,2.1
A-18,Matriculants,2025-2026,American Indian or Alaska Native,MCAT PSBB,Mean,127.2
A-18,Matriculants,2025-2026,Asian,MCAT PSBB,Mean,129.5
A-18,Matriculants,2025-2026,Black or African American,MCAT PSBB,Mean,128.0
A-18,Matriculants,2025-2026,Hispanic or Latino,MCAT PSBB,Mean,127.9
A-18,Matriculants,2025-2026,Middle Eastern or North African,MCAT PSBB,Mean,129.0
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,MCAT PSBB,Mean,128.8
A-18,Matriculants,2025-2026,White,MCAT PSBB,Mean,129.0
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,MCAT PSBB,Mean,128.8
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,MCAT PSBB,Mean,128.9
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,MCAT PSBB,Mean,129.1
A-18,Matriculants,2025-2026,American Indian or Alaska Native,MCAT PSBB,SD,2.2
A-18,Matriculants,2025-2026,Asian,MCAT PSBB,SD,1.8
A-18,Matriculants,2025-2026,Black or African American,MCAT PSBB,SD,2.0
A-18,Matriculants,2025-2026,Hispanic or Latino,MCAT PSBB,SD,2.3
A-18,Matriculants,2025-2026,Middle Eastern or North African,MCAT PSBB,SD,1.9
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,MCAT PSBB,SD,1.9
A-18,Matriculants,2025-2026,White,MCAT PSBB,SD,2.0
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,MCAT PSBB,SD,2.0
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,MCAT PSBB,SD,2.0
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,MCAT PSBB,SD,1.9
A-18,Matriculants,2025-2026,American Indian or Alaska Native,Total MCAT,Mean,505.2
A-18,Matriculants,2025-2026,Asian,Total MCAT,Mean,514.3
A-18,Matriculants,2025-2026,Black or African American,Total MCAT,Mean,507.2
A-18,Matriculants,2025-2026,Hispanic or Latino,Total MCAT,Mean,506.8
A-18,Matriculants,2025-2026,Middle Eastern or North African,Total MCAT,Mean,511.7
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,Total MCAT,Mean,512.0
A-18,Matriculants,2025-2026,White,Total MCAT,Mean,512.3
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,Total MCAT,Mean,510.5
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,Total MCAT,Mean,511.6
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,Total MCAT,Mean,512.9
A-18,Matriculants,2025-2026,American Indian or Alaska Native,Total MCAT,SD,7.9
A-18,Matriculants,2025-2026,Asian,Total MCAT,SD,5.8
A-18,Matriculants,2025-2026,Black or African American,Total MCAT,SD,6.4
A-18,Matriculants,2025-2026,Hispanic or Latino,Total MCAT,SD,7.5
A-18,Matriculants,2025-2026,Middle Eastern or North African,Total MCAT,SD,5.9
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,Total MCAT,SD,7.3
A-18,Matriculants,2025-2026,White,Total MCAT,SD,6.1
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,Total MCAT,SD,5.8
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,Total MCAT,SD,6.3
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,Total MCAT,SD,6.3
A-18,Matriculants,2025-2026,American Indian or Alaska Native,GPA Science,Mean,3.46
A-18,Matriculants,2025-2026,Asian,GPA Science,Mean,3.81
A-18,Matriculants,2025-2026,Black or African American,GPA Science,Mean,3.53
A-18,Matriculants,2025-2026,Hispanic or Latino,GPA Science,Mean,3.62
A-18,Matriculants,2025-2026,Middle Eastern or North African,GPA Science,Mean,3.8
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,GPA Science,Mean,3.65
A-18,Matriculants,2025-2026,White,GPA Science,Mean,3.77
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,GPA Science,Mean,3.72
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,GPA Science,Mean,3.72
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,GPA Science,Mean,3.76
A-18,Matriculants,2025-2026,American Indian or Alaska Native,GPA Science,SD,0.33
A-18,Matriculants,2025-2026,Asian,GPA Science,SD,0.22
A-18,Matriculants,2025-2026,Black or African American,GPA Science,SD,0.36
A-18,Matriculants,2025-2026,Hispanic or Latino,GPA Science,SD,0.32
A-18,Matriculants,2025-2026,Middle Eastern or North African,GPA Science,SD,0.24
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,GPA Science,SD,0.36
A-18,Matriculants,2025-2026,White,GPA Science,SD,0.24
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,GPA Science,SD,0.38
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,GPA Science,SD,0.27
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,GPA Science,SD,0.28
A-18,Matriculants,2025-2026,American Indian or Alaska Native,GPA Non-Science,Mean,3.79
A-18,Matriculants,2025-2026,Asian,GPA Non-Science,Mean,3.91
A-18,Matriculants,2025-2026,Black or African American,GPA Non-Science,Mean,3.78
A-18,Matriculants,2025-2026,Hispanic or Latino,GPA Non-Science,Mean,3.83
A-18,Matriculants,2025-2026,Middle Eastern or North African,GPA Non-Science,Mean,3.91
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,GPA Non-Science,Mean,3.83
A-18,Matriculants,2025-2026,White,GPA Non-Science,Mean,3.89
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,GPA Non-Science,Mean,3.86
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,GPA Non-Science,Mean,3.87
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,GPA Non-Science,Mean,3.88
A-18,Matriculants,2025-2026,American Indian or Alaska Native,GPA Non-Science,SD,0.23
A-18,Matriculants,2025-2026,Asian,GPA Non-Science,SD,0.14
A-18,Matriculants,2025-2026,Black or African American,GPA Non-Science,SD,0.25
A-18,Matriculants,2025-2026,Hispanic or Latino,GPA Non-Science,SD,0.21
A-18,Matriculants,2025-2026,Middle Eastern or North African,GPA Non-Science,SD,0.16
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,GPA Non-Science,SD,0.19
A-18,Matriculants,2025-2026,White,GPA Non-Science,SD,0.17
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,GPA Non-Science,SD,0.22
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,GPA Non-Science,SD,0.18
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,GPA Non-Science,SD,0.18
A-18,Matriculants,2025-2026,American Indian or Alaska Native,GPA Total,Mean,3.64
A-18,Matriculants,2025-2026,Asian,GPA Total,Mean,3.85
A-18,Matriculants,2025-2026,Black or African American,GPA Total,Mean,3.65
A-18,Matriculants,2025-2026,Hispanic or Latino,GPA Total,Mean,3.71
A-18,Matriculants,2025-2026,Middle Eastern or North African,GPA Total,Mean,3.84
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,GPA Total,Mean,3.74
A-18,Matriculants,2025-2026,White,GPA Total,Mean,3.82
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,GPA Total,Mean,3.77
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,GPA Total,Mean,3.79
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,GPA Total,Mean,3.82
A-18,Matriculants,2025-2026,American Indian or Alaska Native,GPA Total,SD,0.27
A-18,Matriculants,2025-2026,Asian,GPA Total,SD,0.17
A-18,Matriculants,2025-2026,Black or African American,GPA Total,SD,0.28
A-18,Matriculants,2025-2026,Hispanic or Latino,GPA Total,SD,0.25
A-18,Matriculants,2025-2026,Middle Eastern or North African,GPA Total,SD,0.18
A-18,Matriculants,2025-2026,Native Hawaiian or Pacific Islander,GPA Total,SD,0.27
A-18,Matriculants,2025-2026,White,GPA Total,SD,0.19
A-18,Matriculants,2025-2026,Some Other Race or Ethnicity,GPA Total,SD,0.31
A-18,Matriculants,2025-2026,Multiple Race or Ethnicity,GPA Total,SD,0.21
A-18,Matriculants,2025-2026,Unknown Race or Ethnicity,GPA Total,SD,0.22
